response_id,control_doc_id,test_doc_id,stance,chose_control,confidence,time_spent_seconds,expanded_control,expanded_test,tercile
1392,P27_FOR,P30_FOR,FOR,True,,19.7,False,False,late
1393,P19_AGAINST,P30_AGAINST,AGAINST,False,,13.7,False,False,late
1394,P25_AGAINST,P40_AGAINST,AGAINST,False,,81.8,True,False,early
1395,P29_FOR,P30_FOR,FOR,False,,111.2,True,True,middle
1396,P25_FOR,P48_FOR,FOR,False,3,11.4,False,False,early
1397,P29_FOR,P16_FOR,FOR,False,1,91.1,False,False,early
1398,P39_AGAINST,P42_AGAINST,AGAINST,False,,89.0,False,False,early
1399,P45_AGAINST,P32_AGAINST,AGAINST,False,4,48.4,False,False,early
1400,P43_FOR,P32_FOR,FOR,False,4,72.7,False,False,early
1401,P25_AGAINST,P30_AGAINST,AGAINST,False,,43.7,False,False,early
1402,P45_FOR,P18_FOR,FOR,True,1,66.1,False,False,middle
1403,P17_FOR,P26_FOR,FOR,False,1,76.5,False,False,middle
1404,P33_AGAINST,P18_AGAINST,AGAINST,True,4,48.3,False,False,middle
1405,P27_FOR,P22_FOR,FOR,False,2,77.9,False,False,middle
1406,P19_AGAINST,P44_AGAINST,AGAINST,True,2,61.3,False,False,middle
1407,P17_AGAINST,P24_AGAINST,AGAINST,True,,53.9,False,False,middle
1408,P27_AGAINST,P40_AGAINST,AGAINST,False,,45.2,False,False,late
1409,P43_AGAINST,P16_AGAINST,AGAINST,False,,51.0,False,False,late
1410,P33_FOR,P34_FOR,FOR,False,,38.3,False,False,late
1411,P19_FOR,P24_FOR,FOR,False,,43.0,False,False,late
1412,P29_AGAINST,P26_AGAINST,AGAINST,False,,20.2,False,False,late
1413,P39_FOR,P42_FOR,FOR,True,,33.4,False,False,late
1414,P39_AGAINST,P24_AGAINST,AGAINST,True,2,12.3,False,False,early
1415,P19_FOR,P32_FOR,FOR,False,,85.6,True,True,early
1416,P45_FOR,P16_FOR,FOR,True,4,32.4,False,True,early
1417,P27_AGAINST,P16_AGAINST,AGAINST,True,3,81.7,True,True,early
1418,P33_AGAINST,P22_AGAINST,AGAINST,False,,106.6,True,True,early
1419,P25_FOR,P24_FOR,FOR,False,4,39.5,True,True,early
1420,P17_AGAINST,P32_AGAINST,AGAINST,False,,59.5,True,True,middle
1421,P33_FOR,P34_FOR,FOR,False,3,76.9,True,True,middle
1422,P45_AGAINST,P44_AGAINST,AGAINST,False,,117.7,False,True,middle
1423,P27_FOR,P26_FOR,FOR,False,,48.9,True,True,middle
1424,P19_AGAINST,P40_AGAINST,AGAINST,False,,69.2,True,True,middle
